City,Date,Max Temp (°C),Min Temp (°C),Precipitation (mm)
Concord,2014-02-28,15.0,11.1,26.667
Concord,2014-03-01,18.1,10.9,0.009
Concord,2014-03-02,15.0,8.9,0.798
Concord,2014-03-03,15.8,8.9,2.698
Concord,2014-03-04,16.0,11.1,0.298
Concord,2014-03-05,20.0,11.1,5.775
Concord,2014-03-06,18.9,11.0,2.787
Concord,2014-03-07,20.0,6.1,0.0
Concord,2014-03-08,21.0,7.1,0.0
Concord,2014-03-09,20.0,12.1,0.0
Concord,2014-03-10,20.0,12.1,0.296
Concord,2014-03-11,21.0,6.9,0.092
Concord,2014-03-12,23.1,10.0,0.0
Concord,2014-03-13,25.0,6.8,0.0
Concord,2014-03-14,22.9,10.0,0.0
Concord,2014-03-15,26.8,8.9,0.0
Concord,2014-03-16,26.0,8.1,0.0
Concord,2014-03-17,20.8,11.0,0.0
Concord,2014-03-18,21.8,6.1,0.0
Concord,2014-03-19,23.1,6.0,0.0
Concord,2014-03-20,24.1,9.1,0.0
Concord,2014-03-21,21.0,8.9,0.0
Concord,2014-03-22,22.0,7.1,0.0
Concord,2014-03-23,22.0,6.8,0.0
Concord,2014-03-24,25.0,7.0,0.0
Concord,2014-03-25,16.8,8.1,0.324
Concord,2014-03-26,15.8,10.8,9.791
Concord,2014-03-27,17.0,9.2,1.091
Concord,2014-03-28,20.0,10.8,0.002
Concord,2014-03-29,14.1,11.0,8.898
Concord,2014-03-30,16.0,7.1,0.0
Concord,2014-03-31,13.9,6.8,15.222
Concord,2015-10-19,8.8,-7.1,0.0
Concord,2016-01-17,2.2,-3.3,0.594
Concord,2016-08-29,28.9,15.7,0.0
Concord,2017-04-15,21.7,-2.1,0.3
Coppell,2017-09-04,34.9,23.4,0.0
Coral Springs,2015-09-15,32.1,28.3,0.233
Costa Mesa,2016-07-25,29.0,21.1,0.0
Costa Mesa,2017-01-28,24.3,11.4,0.0
Cottage Grove,2014-12-29,-11.6,-16.9,0.0
Cuyahoga Falls,2015-05-08,30.9,15.8,0.0
Dallas,2014-02-16,23.8,8.3,0.0
Dallas,2015-02-09,25.1,9.5,0.0
Dallas,2016-03-05,25.1,8.8,0.0
Dallas,2016-04-28,29.1,14.7,0.0
Dallas,2016-07-10,34.3,22.8,0.0
Dallas,2016-08-08,38.4,27.5,0.05
Dallas,2016-08-27,32.6,23.1,0.0
Dallas,2016-11-24,21.5,7.3,0.0
Dallas,2017-03-02,19.0,4.7,0.0
Dallas,2017-06-08,30.9,21.6,0.0
Dallas,2017-08-18,33.2,24.8,0.169
Dallas,2017-12-17,10.6,6.4,0.0
Dearborn,2015-11-29,2.9,-4.1,0.0
Decatur,2014-01-01,2.0,-7.0,0.002
Decatur,2014-01-02,-6.8,-14.0,0.0
Decatur,2014-01-03,-6.1,-20.0,0.0
Decatur,2014-01-04,2.1,-6.1,0.003
Decatur,2014-01-05,0.8,-17.1,0.016
Decatur,2014-01-06,-19.0,-23.9,0.0
Decatur,2014-01-07,-10.9,-22.2,0.0
Decatur,2014-01-08,-6.9,-12.2,0.0
Decatur,2014-01-09,0.0,-10.8,0.0
Decatur,2014-01-10,5.0,0.0,7.81
Decatur,2014-01-11,5.8,0.8,0.51
Decatur,2014-01-12,8.1,-3.1,0.003
Decatur,2014-01-13,11.0,-0.9,0.0
Decatur,2014-01-14,4.1,-3.2,0.378
Decatur,2014-01-15,-3.2,-7.9,0.0
Decatur,2014-01-16,4.1,-5.0,0.0
Decatur,2014-01-17,-5.0,-12.9,0.0
Decatur,2014-01-18,0.0,-11.1,0.0
Decatur,2014-01-19,5.0,-8.2,0.151
Decatur,2014-01-20,6.0,-2.0,0.0
Decatur,2014-01-21,-1.0,-15.8,0.002
Decatur,2014-01-22,-5.8,-15.8,0.0
Decatur,2014-01-23,-14.1,-19.0,0.0
Decatur,2014-01-24,-2.1,-20.0,0.0
Decatur,2014-01-25,1.7,-9.2,0.0
Decatur,2014-01-26,8.9,-8.9,0.0
Decatur,2014-01-27,-8.2,-17.1,0.0
Decatur,2014-01-28,-10.0,-19.2,0.0
Decatur,2014-01-29,-1.1,-14.9,0.0
Decatur,2014-01-30,3.1,-6.8,0.006
Decatur,2014-01-31,0.7,-5.9,0.002
Decatur,2014-02-01,2.8,-2.9,25.068
Decatur,2014-02-02,-3.2,-11.9,0.0
Decatur,2014-02-03,-4.0,-15.9,0.027
Decatur,2014-02-04,-5.0,-8.2,0.023
Decatur,2014-02-05,-4.2,-13.9,0.02
Decatur,2014-02-06,-14.2,-18.2,0.0
Decatur,2014-02-07,-11.8,-22.2,0.0
Decatur,2014-02-08,-5.8,-11.8,0.0
Decatur,2014-02-09,-5.0,-13.0,0.576
Decatur,2014-02-10,-13.2,-19.3,0.0
Decatur,2014-02-11,-12.9,-21.9,0.007
Decatur,2014-02-12,-5.8,-21.4,0.298
Decatur,2014-02-13,2.8,-17.0,0.029
Decatur,2014-02-14,-1.2,-12.1,0.08
Decatur,2014-02-15,-4.2,-19.0,2.689
Decatur,2014-02-16,-3.0,-11.0,2.055
Decatur,2014-02-17,2.1,-7.1,7.2
Decatur,2014-02-18,8.9,-3.2,13.166
Decatur,2014-02-19,6.7,1.8,0.0
Decatur,2014-02-20,15.9,2.0,5.51
Decatur,2014-02-21,7.9,0.8,0.0
Decatur,2014-02-22,8.8,-1.8,4.761
Decatur,2014-02-23,0.0,-4.9,2.688
Decatur,2014-02-24,-2.1,-6.8,0.0
Decatur,2014-02-25,-3.2,-10.9,0.589
Decatur,2014-02-26,-6.8,-15.0,0.0
Decatur,2014-02-27,-5.1,-12.1,0.0
Decatur,2014-02-28,4.2,-13.2,0.0
Decatur,2014-12-05,5.8,1.0,13.244
Decatur,2016-06-12,32.2,22.2,0.0
Decatur,2016-09-26,23.3,13.8,0.859
Deltona,2014-07-01,31.9,24.7,0.603
Denver,2014-08-03,29.8,14.8,0.0
Denver,2014-11-01,21.0,3.8,0.0
Denver,2016-04-28,3.6,1.3,0.439
Denver,2016-07-18,33.1,16.0,5.041
Denver,2017-11-28,6.9,0.1,0.0
Denver,2017-12-01,16.6,2.7,0.0
Des Moines,2014-09-21,21.4,13.1,0.0
Des Moines,2016-08-12,28.3,22.8,22.898
Des Moines,2017-01-30,10.6,-2.0,0.0
Detroit,2014-09-09,24.8,16.2,0.0
Detroit,2015-08-09,25.7,18.8,0.022
Detroit,2015-10-30,10.5,5.8,0.058
Detroit,2015-11-29,2.3,-4.2,0.0
Detroit,2016-08-20,28.9,21.1,23.58
Detroit,2016-09-05,28.2,14.9,0.0
Detroit,2016-10-22,10.8,4.6,0.0
Detroit,2016-12-15,-8.8,-14.2,0.058
Detroit,2017-01-07,-9.2,-14.7,5.802
Detroit,2017-01-23,6.5,4.2,1.63
Detroit,2017-06-26,21.5,12.9,0.219
Detroit,2017-12-09,-1.7,-3.4,0.933
Detroit,2017-12-22,1.2,0.1,0.058
Dover,2014-01-01,10.1,7.7,12.473
Dover,2014-01-02,9.9,6.7,2.407
Dover,2014-01-03,10.4,5.4,5.554
Dover,2014-01-04,9.7,4.4,6.842
Dover,2014-01-05,9.6,3.2,0.986
Dover,2014-01-06,11.7,9.4,3.07
Dover,2014-01-07,11.2,7.4,3.042
Dover,2014-01-08,10.5,7.6,2.886
Dover,2014-01-09,10.7,4.1,0.984
Dover,2014-01-10,9.1,3.9,0.577
Dover,2014-01-11,8.8,2.1,1.006
Dover,2014-01-12,7.4,0.2,0.295
Dover,2014-01-13,9.6,6.6,1.09
Dover,2014-01-14,7.8,3.4,6.623
Dover,2014-01-15,9.4,5.3,4.462
Dover,2014-01-16,9.8,8.6,1.373
Dover,2014-01-17,8.8,7.4,6.704
Dover,2014-01-18,8.8,7.8,1.638
Dover,2014-01-19,9.1,3.6,3.467
Dover,2014-01-20,7.5,3.1,0.02
Dover,2014-01-21,6.4,1.8,0.322
Dover,2014-01-22,7.3,4.1,1.37
Dover,2014-01-23,6.9,3.1,2.153
Dover,2014-01-24,6.9,2.2,1.955
Dover,2014-01-25,9.1,4.7,3.872
Dover,2014-01-26,8.7,2.9,3.757
Dover,2014-01-27,7.7,2.1,1.583
Dover,2014-01-28,7.1,5.1,7.15
Dover,2014-01-29,5.9,3.4,6.132
Dover,2014-01-30,6.5,3.9,2.018
Dover,2014-01-31,7.2,4.5,3.127
Dover,2014-02-01,7.9,5.7,9.512
Dover,2014-02-02,8.6,5.4,1.969
Dover,2014-02-03,7.4,5.0,0.158
Dover,2014-02-04,7.3,5.2,0.226
Dover,2014-02-05,8.7,5.3,9.372
Dover,2014-02-06,9.4,5.4,8.078
Dover,2014-02-07,9.8,4.2,9.824
Dover,2014-02-08,9.1,5.4,6.523
Dover,2014-02-09,8.1,4.2,6.908
Dover,2014-02-10,7.4,3.9,2.593
Dover,2014-02-11,6.8,2.6,5.94
Dover,2014-02-12,7.8,3.2,8.167
Dover,2014-02-13,7.1,2.9,2.966
Dover,2014-02-14,10.7,4.1,7.156
Dover,2014-02-15,9.7,4.9,4.096
Dover,2014-02-16,8.6,2.6,0.013
Dover,2014-02-17,9.2,7.3,0.128
Dover,2014-02-18,10.4,6.6,2.118
Dover,2014-02-19,10.0,3.9,0.276
Dover,2014-02-20,9.4,6.4,2.19
Dover,2014-02-21,8.9,3.9,2.817
Dover,2014-02-22,9.9,4.9,1.049
Dover,2014-02-23,9.9,7.8,0.02
Dover,2014-02-24,10.4,7.6,0.0
Dover,2014-02-25,9.9,6.3,2.305
Dover,2014-02-26,9.7,5.1,1.664
Dover,2014-02-27,10.6,4.1,2.891
Dover,2014-02-28,6.8,3.9,4.605
Dover,2014-03-01,7.6,2.9,5.043
Dover,2014-03-02,8.7,3.0,0.831
Dover,2014-03-03,7.3,4.4,6.519
Dover,2014-03-04,10.1,3.9,1.56
Dover,2014-03-05,10.7,3.5,0.02
Dover,2014-03-06,10.2,6.8,0.108
Dover,2014-03-07,10.4,7.4,0.0
Dover,2014-03-08,13.1,7.2,0.0
Dover,2014-03-09,14.0,8.8,0.0
Dover,2014-03-10,14.3,6.2,0.0
Dover,2014-03-11,8.1,6.2,0.0
Dover,2014-03-12,14.1,3.7,0.157
Dover,2014-03-13,14.8,2.9,0.157
Dover,2014-03-14,7.1,1.6,0.148
Dover,2014-03-15,14.3,7.1,0.0
Dover,2014-03-16,19.0,9.3,0.0
Dover,2014-03-17,11.7,7.4,0.071
Dover,2014-03-18,10.9,6.4,0.0
Dover,2014-03-19,10.4,7.2,0.0
Dover,2014-03-20,11.4,7.4,0.0
Dover,2014-03-21,9.4,4.7,9.55
Dover,2014-03-22,8.3,3.4,1.484
Dover,2014-03-23,9.3,2.2,0.865
Dover,2014-03-24,8.9,1.1,0.128
Dover,2014-03-25,9.2,5.4,0.099
Dover,2014-03-26,8.0,2.1,2.0
Dover,2014-03-27,9.7,0.2,0.589
Dover,2014-03-28,12.7,2.9,0.198
Dover,2014-03-29,16.0,7.6,0.138
